2025-03-21 04:15:57.129 | INFO    | motorph.util.DebugLogger.configureLogger | Logging system initialized. Log file: logs\motorph_payroll_20250321.log
2025-03-21 04:15:57.132 | INFO    | motorph.util.DebugLogger.log | Loading employee data from: resources/MotorPH Employee Data - Employee Details.csv
2025-03-21 04:15:57.133 | INFO    | motorph.util.DebugLogger.log | File opened successfully. Reading data...
2025-03-21 04:15:57.134 | INFO    | motorph.util.DebugLogger.log | Header row: Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
2025-03-21 04:15:57.138 | INFO    | motorph.util.DebugLogger.log | Line 2: Parsed 19 fields
2025-03-21 04:15:57.144 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10001, Name: Manuel III Garcia
2025-03-21 04:15:57.145 | INFO    | motorph.util.DebugLogger.log | Line 3: Parsed 19 fields
2025-03-21 04:15:57.145 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10002, Name: Antonio Lim
2025-03-21 04:15:57.146 | INFO    | motorph.util.DebugLogger.log | Line 4: Parsed 19 fields
2025-03-21 04:15:57.146 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10003, Name: Bianca Sofia Aquino
2025-03-21 04:15:57.146 | INFO    | motorph.util.DebugLogger.log | Line 5: Parsed 19 fields
2025-03-21 04:15:57.146 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10004, Name: Isabella Reyes
2025-03-21 04:15:57.147 | INFO    | motorph.util.DebugLogger.log | Line 6: Parsed 19 fields
2025-03-21 04:15:57.147 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10005, Name: Eduard Hernandez
2025-03-21 04:15:57.147 | INFO    | motorph.util.DebugLogger.log | Line 7: Parsed 19 fields
2025-03-21 04:15:57.147 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10006, Name: Andrea Mae Villanueva
2025-03-21 04:15:57.147 | INFO    | motorph.util.DebugLogger.log | Line 8: Parsed 19 fields
2025-03-21 04:15:57.148 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10007, Name: Brad San Jose
2025-03-21 04:15:57.148 | INFO    | motorph.util.DebugLogger.log | Line 9: Parsed 19 fields
2025-03-21 04:15:57.148 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10008, Name: Alice Romualdez
2025-03-21 04:15:57.148 | INFO    | motorph.util.DebugLogger.log | Line 10: Parsed 19 fields
2025-03-21 04:15:57.148 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10009, Name: Rosie Atienza
2025-03-21 04:15:57.150 | INFO    | motorph.util.DebugLogger.log | Line 11: Parsed 19 fields
2025-03-21 04:15:57.150 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10010, Name: Roderick Alvaro
2025-03-21 04:15:57.150 | INFO    | motorph.util.DebugLogger.log | Line 12: Parsed 19 fields
2025-03-21 04:15:57.150 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10011, Name: Anthony Salcedo
2025-03-21 04:15:57.150 | INFO    | motorph.util.DebugLogger.log | Line 13: Parsed 19 fields
2025-03-21 04:15:57.151 | INFO    | motorph.util.DebugLogger.log | Created employee with ID: 10012, Name: Josie Lopez
2025-03-21 04:15:57.151 | INFO    | motorph.util.DebugLogger.log | Line 14: Parsed 19 fields
